fold,epoch,train_loss,val_acc
0,0,2.245080,0.265337
0,1,1.918710,0.428681
0,2,1.683228,0.506902
0,3,1.537861,0.540644
0,4,1.439635,0.524540
0,5,1.358629,0.584356
0,6,1.306317,0.578221
0,7,1.279264,0.569785
0,8,1.255904,0.601994
0,9,1.232363,0.622699
0,10,1.205312,0.613497
0,11,1.184917,0.631902
0,12,1.165124,0.601994
0,13,1.142779,0.644939
0,14,1.130905,0.631902
0,15,1.112311,0.608896
0,16,1.100651,0.644172
0,17,1.079904,0.653374
0,18,1.067204,0.653374
0,19,1.058536,0.654141
0,20,1.045248,0.679448
0,21,1.041023,0.651841
0,22,1.029905,0.658742
0,23,1.016161,0.665644
0,24,1.004216,0.680982
0,25,0.993171,0.699386
0,26,0.982659,0.700920
0,27,0.975383,0.690184
0,28,0.966762,0.693252
0,29,0.958519,0.695552
0,30,0.943416,0.699386
0,31,0.942626,0.703988
0,32,0.928603,0.707055
0,33,0.926076,0.700153
0,34,0.918085,0.684816
0,35,0.909849,0.702454
0,36,0.895965,0.707055
0,37,0.889358,0.712423
0,38,0.885768,0.706288
0,39,0.874108,0.717791
0,40,0.874112,0.734663
0,41,0.859776,0.726994
0,42,0.856622,0.710123
0,43,0.852026,0.720859
0,44,0.846160,0.733896
0,45,0.837845,0.733129
0,46,0.828133,0.732362
0,47,0.824460,0.738497
0,48,0.810044,0.730061
0,49,0.805332,0.734663
0,50,0.801553,0.732362
0,51,0.793576,0.739264
0,52,0.788460,0.743865
0,53,0.783344,0.740031
0,54,0.775520,0.730828
0,55,0.769414,0.748466
0,56,0.763420,0.740031
0,57,0.757428,0.748466
0,58,0.752812,0.728528
0,59,0.746978,0.743098
0,60,0.736696,0.759202
0,61,0.733474,0.750000
0,62,0.728978,0.764571
0,63,0.721636,0.755368
0,64,0.715302,0.747699
0,65,0.712943,0.759969
0,66,0.707795,0.766104
0,67,0.699101,0.760736
0,68,0.696466,0.765337
0,69,0.689117,0.763037
0,70,0.688542,0.763037
0,71,0.678510,0.769939
0,72,0.675970,0.762270
0,73,0.670946,0.766871
0,74,0.662124,0.779141
0,75,0.660953,0.779141
0,76,0.661947,0.782209
0,77,0.652712,0.783742
0,78,0.652272,0.780675
0,79,0.642172,0.777607
0,80,0.644636,0.766871
0,81,0.637617,0.766871
0,82,0.632220,0.778374
0,83,0.632594,0.778374
0,84,0.625450,0.778374
0,85,0.622627,0.776074
0,86,0.623509,0.775307
0,87,0.616455,0.781442
0,88,0.619432,0.782209
0,89,0.612759,0.779908
0,90,0.607720,0.789877
0,91,0.607161,0.786810
0,92,0.605499,0.790644
0,93,0.605348,0.781442
0,94,0.600640,0.785276
0,95,0.600893,0.787577
0,96,0.595808,0.793712
0,97,0.594695,0.783742
0,98,0.591923,0.792945
0,99,0.588108,0.789110
0,100,0.588089,0.791411
0,101,0.585593,0.795245
0,102,0.587492,0.798313
0,103,0.584916,0.794479
0,104,0.584734,0.789110
0,105,0.582973,0.796012
0,106,0.579802,0.799080
0,107,0.582393,0.796779
0,108,0.577699,0.802147
0,109,0.578810,0.793712
0,110,0.579853,0.800614
0,111,0.576580,0.797546
