fold,epoch,train_loss,val_acc
0,0,2.230361,0.334356
0,1,1.860184,0.476227
0,2,1.624809,0.530675
0,3,1.481437,0.547546
0,4,1.397416,0.545245
0,5,1.336283,0.573620
0,6,1.298410,0.578221
0,7,1.260274,0.598159
0,8,1.231948,0.609663
0,9,1.204989,0.616564
0,10,1.183106,0.628834
0,11,1.159604,0.634202
0,12,1.136785,0.625767
0,13,1.117677,0.661043
0,14,1.096471,0.654908
0,15,1.078460,0.661043
0,16,1.061418,0.662577
0,17,1.044788,0.677914
0,18,1.029963,0.672546
0,19,1.017619,0.671012
0,20,1.006684,0.687117
0,21,1.004942,0.694018
0,22,0.984505,0.694018
0,23,0.974339,0.697853
0,24,0.964620,0.684816
0,25,0.954774,0.699386
0,26,0.951251,0.710123
0,27,0.943926,0.709356
0,28,0.935590,0.716258
0,29,0.926204,0.710890
0,30,0.916354,0.706288
0,31,0.912089,0.713957
0,32,0.901320,0.720859
0,33,0.895445,0.719325
0,34,0.882995,0.705521
0,35,0.876569,0.727761
0,36,0.868945,0.720859
0,37,0.859622,0.729294
0,38,0.852935,0.721626
0,39,0.846001,0.734663
0,40,0.843856,0.737730
0,41,0.829374,0.730061
0,42,0.828482,0.749233
0,43,0.818057,0.740798
0,44,0.810983,0.731595
0,45,0.803565,0.746166
0,46,0.795648,0.740798
0,47,0.794577,0.751534
0,48,0.786421,0.752301
0,49,0.777285,0.747699
0,50,0.769044,0.749233
0,51,0.764180,0.750000
0,52,0.758896,0.751534
0,53,0.749756,0.746166
0,54,0.747066,0.748466
0,55,0.741964,0.761503
0,56,0.736003,0.758436
0,57,0.729882,0.759202
0,58,0.725193,0.747699
0,59,0.721940,0.756902
0,60,0.713415,0.752301
0,61,0.707558,0.757669
0,62,0.706531,0.759969
0,63,0.699028,0.769939
0,64,0.694742,0.766104
0,65,0.688481,0.766104
0,66,0.679432,0.761503
0,67,0.677411,0.766871
0,68,0.672704,0.771472
0,69,0.666842,0.775307
0,70,0.667525,0.776074
0,71,0.662759,0.772239
0,72,0.655895,0.776074
0,73,0.654206,0.775307
0,74,0.648327,0.771472
0,75,0.645692,0.776074
0,76,0.643725,0.779141
0,77,0.636575,0.784509
0,78,0.635519,0.764571
0,79,0.628406,0.770706
0,80,0.630164,0.780675
0,81,0.626565,0.771472
0,82,0.624245,0.786043
0,83,0.615137,0.779908
0,84,0.615969,0.773006
0,85,0.612085,0.783742
0,86,0.612812,0.787577
0,87,0.606339,0.779141
0,88,0.608479,0.775307
0,89,0.600812,0.785276
0,90,0.601136,0.780675
0,91,0.596192,0.781442
0,92,0.598666,0.787577
0,93,0.599237,0.791411
0,94,0.593190,0.787577
0,95,0.591077,0.786043
0,96,0.588592,0.782209
0,97,0.585559,0.784509
0,98,0.587945,0.779908
0,99,0.586408,0.781442
0,100,0.582297,0.789877
0,101,0.582557,0.789877
0,102,0.580087,0.789110
0,103,0.581148,0.786810
0,104,0.579782,0.786810
0,105,0.577530,0.788344
0,106,0.575459,0.787577
0,107,0.575611,0.787577
0,108,0.573733,0.791411
0,109,0.579437,0.790644
0,110,0.574229,0.789877
0,111,0.572375,0.789110
0,112,0.571675,0.791411
0,113,0.573470,0.792945
0,114,0.572387,0.790644
0,115,0.570028,0.789110
0,116,0.572072,0.791411
0,117,0.569668,0.789877
0,118,0.573257,0.789877
0,119,0.570991,0.789877
1,0,2.195184,0.326453
1,1,1.849168,0.502294
1,2,1.631348,0.555046
1,3,1.482214,0.577217
1,4,1.389768,0.575688
1,5,1.338837,0.584862
1,6,1.300550,0.581804
1,7,1.279447,0.584098
1,8,1.247703,0.611621
1,9,1.230678,0.597859
1,10,1.202891,0.620795
1,11,1.176792,0.621560
1,12,1.147443,0.636086
1,13,1.134537,0.628440
1,14,1.109046,0.630734
1,15,1.098250,0.639144
1,16,1.079405,0.643731
1,17,1.063106,0.654434
1,18,1.056387,0.653670
1,19,1.043160,0.639908
1,20,1.031899,0.670489
1,21,1.015542,0.681193
1,22,1.009607,0.691896
1,23,1.002800,0.700306
1,24,0.993563,0.687309
1,25,0.979765,0.680428
1,26,0.975353,0.701070
1,27,0.962738,0.688838
1,28,0.953620,0.709480
1,29,0.943521,0.702599
1,30,0.937073,0.704893
1,31,0.926247,0.714832
1,32,0.918385,0.733180
1,33,0.913981,0.716361
1,34,0.904457,0.718654
1,35,0.892291,0.724771
1,36,0.890102,0.737003
1,37,0.877647,0.724771
1,38,0.869093,0.738532
1,39,0.862285,0.725535
1,40,0.855499,0.729358
1,41,0.847826,0.728593
1,42,0.838368,0.743884
1,43,0.835159,0.733945
1,44,0.826017,0.753823
1,45,0.818470,0.747706
1,46,0.808313,0.741590
1,47,0.803928,0.744648
1,48,0.802020,0.739297
1,49,0.794856,0.751529
1,50,0.788088,0.756881
1,51,0.783068,0.743884
1,52,0.777021,0.750000
1,53,0.768278,0.759174
1,54,0.761811,0.764526
1,55,0.757488,0.746177
1,56,0.750528,0.767584
1,57,0.746874,0.769878
1,58,0.745625,0.766055
1,59,0.737895,0.765290
1,60,0.731749,0.766820
1,61,0.724608,0.768349
1,62,0.721823,0.779817
1,63,0.713558,0.769878
1,64,0.710094,0.778287
1,65,0.705347,0.775994
1,66,0.697741,0.771407
1,67,0.692898,0.785933
1,68,0.688499,0.769113
1,69,0.682279,0.776758
1,70,0.677565,0.783639
1,71,0.677660,0.780581
1,72,0.669291,0.791284
1,73,0.665246,0.781346
1,74,0.665876,0.797401
