epoch,train_loss,val_top1,val_top3,val_top5,val_nll,lr,time_s
1,7.0995,0.0108,0.0300,0.0463,6.1480,0.000100,2750.4
2,5.5402,0.0676,0.1680,0.2332,4.7135,0.000200,2726.3
3,4.8609,0.1131,0.2392,0.3181,4.2670,0.000300,2719.4
4,4.4025,0.1584,0.2993,0.3821,3.8936,0.000299,2719.9
5,4.1158,0.1897,0.3436,0.4267,3.6553,0.000296,2726.7
6,3.9876,0.1961,0.3522,0.4337,3.5965,0.000291,2736.1
7,3.9059,0.2170,0.3804,0.4604,3.5031,0.000284,2741.1
8,3.8396,0.2309,0.3884,0.4674,3.4473,0.000275,2733.7
9,3.7875,0.2352,0.3933,0.4753,3.4040,0.000265,2718.1
10,3.7377,0.2302,0.3939,0.4730,3.3898,0.000253,2745.6
11,3.6764,0.2357,0.3955,0.4742,3.3768,0.000240,2695.9
12,3.6167,0.2546,0.4192,0.4989,3.1875,0.000225,2695.5
13,3.5737,0.2574,0.4228,0.5025,3.2011,0.000209,2694.4
14,3.5348,0.2543,0.4202,0.5019,3.1827,0.000193,2694.2
15,3.4942,0.2660,0.4369,0.5161,3.0908,0.000176,2694.4
16,3.4590,0.2558,0.4201,0.4999,3.1779,0.000159,2694.3
17,3.4208,0.2726,0.4360,0.5156,3.1204,0.000141,2694.5
18,3.3837,0.2770,0.4432,0.5212,3.0426,0.000124,2694.3
19,3.3394,0.2814,0.4495,0.5285,3.0041,0.000107,2706.5
20,3.2975,0.2909,0.4590,0.5363,2.9725,0.000091,2709.8
21,3.2536,0.2921,0.4544,0.5349,2.9698,0.000075,2728.5
22,3.2112,0.2987,0.4633,0.5396,2.9602,0.000060,2740.1
23,3.1637,0.2999,0.4607,0.5420,2.9295,0.000047,2735.3
24,3.1191,0.3017,0.4702,0.5479,2.9008,0.000035,2735.5
25,3.0783,0.3146,0.4808,0.5548,2.8614,0.000025,2716.5
26,3.0399,0.3155,0.4785,0.5550,2.8445,0.000016,2709.6
27,3.0054,0.3172,0.4810,0.5608,2.8299,0.000009,2710.2
28,2.9796,0.3204,0.4837,0.5602,2.8239,0.000004,2709.8
29,2.9610,0.3196,0.4834,0.5610,2.8179,0.000001,2715.3
30,2.9501,0.3211,0.4841,0.5603,2.8185,0.000000,2729.3
