epoch,train_loss,val_top1,val_top3,val_top5,val_nll,lr,time_s
1,7.1415,0.0108,0.0275,0.0448,6.1946,0.000100,2748.2
2,5.5421,0.0790,0.1830,0.2535,4.5180,0.000200,2719.6
3,4.5534,0.1234,0.2588,0.3481,4.0435,0.000300,2719.4
4,4.2683,0.1666,0.3176,0.4008,3.7908,0.000299,2718.3
5,4.0686,0.2040,0.3619,0.4424,3.5722,0.000296,2718.0
6,3.9548,0.2056,0.3579,0.4382,3.5816,0.000291,2717.8
7,3.8889,0.2190,0.3766,0.4595,3.4679,0.000284,2717.7
8,3.8495,0.2282,0.3844,0.4677,3.4206,0.000275,2717.5
9,3.8128,0.2308,0.3943,0.4742,3.3997,0.000265,2730.9
10,3.7876,0.2289,0.3909,0.4691,3.3784,0.000253,2744.1
11,3.7637,0.2364,0.3991,0.4782,3.3592,0.000240,2750.7
12,3.7370,0.2338,0.3938,0.4712,3.4221,0.000225,2760.8
13,3.7002,0.2376,0.3990,0.4788,3.3625,0.000209,2738.2
14,3.6732,0.2547,0.4157,0.4927,3.3098,0.000193,2739.2
15,3.6399,0.2530,0.4082,0.4897,3.2852,0.000176,2737.3
16,3.6068,0.2625,0.4254,0.5044,3.2061,0.000159,2737.0
17,3.5713,0.2681,0.4329,0.5099,3.1682,0.000141,2761.6
18,3.5360,0.2635,0.4256,0.5044,3.2165,0.000124,2759.0
19,3.4943,0.2721,0.4309,0.5093,3.2024,0.000107,2757.8
20,3.4596,0.2750,0.4371,0.5144,3.1634,0.000091,2759.3
21,3.4156,0.2896,0.4499,0.5243,3.0813,0.000075,2747.8
22,3.3763,0.2846,0.4461,0.5207,3.1241,0.000060,2751.3
23,3.3371,0.2978,0.4609,0.5332,3.0342,0.000047,2763.2
24,3.2985,0.3039,0.4660,0.5398,3.0100,0.000035,2735.1
25,3.2606,0.3101,0.4685,0.5446,2.9884,0.000025,2738.8
26,3.2262,0.3133,0.4708,0.5439,2.9713,0.000016,2749.7
27,3.1973,0.3118,0.4679,0.5411,2.9833,0.000009,2762.6
28,3.1731,0.3184,0.4730,0.5460,2.9564,0.000004,2740.1
29,3.1580,0.3179,0.4732,0.5455,2.9511,0.000001,2765.7
30,3.1487,0.3182,0.4742,0.5471,2.9464,0.000000,2755.4
